name,manufacturer,form_factor,evaluation_or_commercialization,processor_architecture,processor_core_count,processor_manufacturer,processor_tdp,memory,onboard_storage,input_voltage,io_count,wireless,operating_system_bsp,operating_temperature_max,operating_temperature_min,certifications,short_summary,full_summary,full_product_description,target_applications
HONEYCOMB LX BASE U SERVER,SOLIDRUN,U RACKMOUNT CHASSIS DUAL MINIITX SLEDS,False,ARM CORTEX A,2,NXP,Not Available,UP TO 64 GB DUAL BIT SODIMM DDR,OPTIONAL EMMC 32 GB,Not Available,"['4 X USB', '2 X SFP PORTS GBE', '1 X GBE COPPER RJ', '1 X QSFP PORTS GBE', '1 X SATA', '1 X MICROSD']",Not Available,Not Available,COMMERCIAL 0 C,COMMERCIAL 0 C,SystemReady ES,"HONEYCOMB LX BASE U SERVER WITH DUAL CORE ARM CORTEX A PROCESSOR, UP TO 64 GB DDR MEMORY, OPTIONAL EMMC 32 GB STORAGE, AND MULTIPLE I/O OPTIONS.","HONEYCOMB LX BASE U SERVER IS A HIGH-PERFORMANCE, RACKMOUNTABLE SERVER SOLUTION WITH A DUAL CORE ARM CORTEX A PROCESSOR. IT SUPPORTS UP TO 64 GB OF DDR MEMORY AND HAS OPTIONAL EMMC 32 GB STORAGE. THE SERVER ALSO FEATURES MULTIPLE I/O OPTIONS INCLUDING USB, SFP PORTS, GBE COPPER RJ, QSFP PORTS, SATA, AND MICROSD.","HONEYCOMB LX BASE U SERVER IS A HIGH-PERFORMANCE, RACKMOUNTABLE SERVER SOLUTION DESIGNED BY SOLIDRUN. IT FEATURES A DUAL CORE ARM CORTEX A PROCESSOR MANUFACTURED BY NXP. THE SERVER SUPPORTS UP TO 64 GB OF DDR MEMORY AND HAS OPTIONAL EMMC 32 GB STORAGE. IT ALSO OFFERS A VARIETY OF I/O OPTIONS INCLUDING USB, SFP PORTS, GBE COPPER RJ, QSFP PORTS, SATA, AND MICROSD. THE SERVER OPERATES AT A COMMERCIAL TEMPERATURE RANGE OF 0 C.","Software Defined Networking development, Aarch64 code development and testing"
MBVF,IBASE,ATX,Not Available,Intel Core,Not Available,Intel,Not Available,DDR DIMM Max 64GB,SATA III,"V A, V A, VSB A, V A","['USB x 4, USB x 2, COM x 2, SATA III x 1, PCIE x 1, PCI x 1, Mini PCIE x 1']",Not Available,Not Available,Not Available,Not Available,Not Available,"The MBVF is an ATX motherboard by IBASE featuring Intel Core processor, DDR DIMM Max 64GB memory, SATA III onboard storage, and various I/O interfaces.","The MBVF is an ATX motherboard by IBASE. It features a Intel Core processor, DDR DIMM Max 64GB memory, SATA III onboard storage, and various I/O interfaces including USB, COM, PCIE, and PCI. It also supports HDMI, DVID, and DisplayPort video outputs.","The MBVF is an ATX motherboard by IBASE. It features a Intel Core processor, DDR DIMM Max 64GB memory, SATA III onboard storage, and various I/O interfaces including USB, COM, PCIE, and PCI. It also supports HDMI, DVID, and DisplayPort video outputs. The motherboard has a LGA CPU socket and operates at various voltages.",Not Available
MIVF,IBASE,Mini-ITX,Not Available,Intel Xeon E,Not Available,Intel,Not Available,"2x DDR4 SODIMM socket, Max 64GB",mSATA,12V,"['1x RS-232, 1x RS-422, 4x USB 3.1, 4x USB 2.0, 1x SATA III']",Not Available,Not Available,Not Available,Not Available,Not Available,"Mini-ITX motherboard with Intel Xeon E, 2x DDR4 SODIMM sockets, Max 64GB, mSATA storage, 12V input voltage, multiple I/O interfaces.","The MIVF is a Mini-ITX motherboard manufactured by IBASE. It features an Intel Xeon E processor, 2x DDR4 SODIMM sockets with a maximum capacity of 64GB, and mSATA onboard storage. The motherboard operates at an input voltage of 12V and offers a variety of I/O interfaces including 1x RS-232, 1x RS-422, 4x USB 3.1, 4x USB 2.0, and 1x SATA III.","The MIVF is a Mini-ITX motherboard manufactured by IBASE. It features an Intel Xeon E processor, 2x DDR4 SODIMM sockets with a maximum capacity of 64GB, and mSATA onboard storage. The motherboard operates at an input voltage of 12V and offers a variety of I/O interfaces including 1x RS-232, 1x RS-422, 4x USB 3.1, 4x USB 2.0, and 1x SATA III. The motherboard does not have wireless capabilities and does not specify the operating temperature range or certifications.",Not Available
MB 3RD GEN INTEL CORE I3/I5/I7 PENTIUM CELERON MICRO ATX MOTHERBOARD W INTEL Q PCH,IBASE,MICRO ATX,Not Available,INTEL CORE I3/I5/I7 PENTIUM CELERON,Not Available,INTEL,Not Available,"DDR3, MAX 32GB","2 X SATA II, 2 X SATA III","5V, 12V","['2 X USB 3.0, 4 X USB 2.0, 2 X COM, 2 X SATA II, 2 X SATA III, 1 X PCI-E X16, 1 X PCI-E X1, 1 X PCI']",Not Available,Not Available,50C,0C,Not Available,"3rd Gen Intel Core i3/i5/i7 Pentium Celeron Micro ATX Motherboard with Intel Q PCH, supports HDMI, DVI-I, LVDS, 2 x Gigabit LAN, 2 x SATA III, 2 x SATA II, 1 x PCI-E x16, 1 x PCI-E x1, 1 x PCI, RAID, iSMART","This Micro ATX Motherboard supports 3rd Gen Intel Core i3/i5/i7 Pentium Celeron processors up to 3.4GHz. It has 2 DDR3 DIMM slots supporting up to 32GB of memory. The motherboard features integrated graphics with support for HDMI, DVI-I, and LVDS. It has 2 Intel V Gigabit LAN ports and 2 Realtek RTLE Gigabit LAN ports. The motherboard also features 2 USB 3.0 ports, 4 USB 2.0 ports, 2 COM ports, 2 SATA II ports, 2 SATA III ports, 1 PCI-E x16 slot, 1 PCI-E x1 slot, and 1 PCI slot. It supports RAID and iSMART. The operating temperature range is 0C to 50C.","The MB 3rd Gen Intel Core i3/i5/i7 Pentium Celeron Micro ATX Motherboard w Intel Q PCH is a high-performance motherboard designed for a wide range of applications. It supports 3rd Gen Intel Core i3/i5/i7 Pentium Celeron processors up to 3.4GHz and has 2 DDR3 DIMM slots supporting up to 32GB of memory. The motherboard features integrated graphics with support for HDMI, DVI-I, and LVDS. It has 2 Intel V Gigabit LAN ports and 2 Realtek RTLE Gigabit LAN ports. The motherboard also features 2 USB 3.0 ports, 4 USB 2.0 ports, 2 COM ports, 2 SATA II ports, 2 SATA III ports, 1 PCI-E x16 slot, 1 PCI-E x1 slot, and 1 PCI slot. It supports RAID and iSMART. The operating temperature range is 0C to 50C. The motherboard has a Micro ATX form factor.",Not Available
AIMBDS,ADVANTECH,Mini-ITX,Not Available,Intel Atom,Dual core,INTEL,65W,1GB DDR3 800MHz SDRAM,CompactFlash Type III,DC 12V,"['4 x USB, 2 x SATA, 2 x GbE LAN, 1 x VGA, 1 x LVDS, 1 x CF, 2 x Serial ports']",M.2 B-Key and E-Key for wireless connections,Not Available,60C,-20C,"IEC-60068-2, IPC-A-610","The AIMBDS is an industrial motherboard featuring an Intel Atom dual core processor, 1GB DDR3 800MHz SDRAM, and a variety of I/O interfaces including USB, SATA, GbE LAN, VGA, LVDS, CF, and serial ports.","The AIMBDS is an industrial motherboard from Advantech. It features an Intel Atom dual core processor, 1GB DDR3 800MHz SDRAM, and supports PCI and MiniPCIe expansion. The motherboard has a variety of I/O interfaces including 4 USB ports, 2 SATA ports, 2 GbE LAN ports, 1 VGA port, 1 LVDS port, 1 CF port, and 2 serial ports. It operates at a DC 12V input voltage and has an operating temperature range of -20C to 60C.","The AIMBDS is an industrial motherboard from Advantech. It features an Intel Atom dual core processor, 1GB DDR3 800MHz SDRAM, and supports PCI and MiniPCIe expansion. The motherboard has a variety of I/O interfaces including 4 USB ports, 2 SATA ports, 2 GbE LAN ports, 1 VGA port, 1 LVDS port, 1 CF port, and 2 serial ports. It operates at a DC 12V input voltage and has an operating temperature range of -20C to 60C. The motherboard supports CompactFlash Type III for onboard storage.","factory automation, outdoor kiosks, digital signage, in vitro diagnostic medical devices (IVD), self-service kiosks, entertainment equipment"
OXYA RUGGEDISED OPENSTANDARD EBX SBC,OXYA,EBX,Not Available,Intel Skylake-U series,4,INTEL,W,"DDR4 2400 MHz SODIMM, Up to 64GB",1 x Full size MINI PCIe slot for mSATA,DC 12V,"['8 x COM ports, 6 x USB ports, 3 x Gbe LAN']",Not Available,"Microsoft Windows, Linux",60 C,-20 C,"CE, FCC","EPC-C301 is equipped with the Intel Skylake-U series CPU with multiple ports and expansion slots, suitable for connecting to different level devices.",Not Available,Not Available,"Smart Parking System, Software Integration, Remote Monitoring and Management"
TREKDH,ADVANTECH,In-Vehicle Display System,False,Silvermont,Dual-core,Intel,8 watts,"1 x 2 GB DDR3L SODIMM 1066 MHz, non-ECC (up to 4 GB)","mSATA 1 x 16 GB UMLC, SQFlash mSATA",DC Input V,"['1 x Smart Display Port', '1 x USB Host Type A', '1 x Power button', '1 x Reset button']","Wi-Fi, Bluetooth, WWAN, LTE, GPS, GLONASS, BeiDou","WES7, WES8, Win10 IoT LTSB (32 bit), Linux Ubuntu 14.04 Kernel 3.19.0 (32 bit)",60 C,-20 C,"['CE', 'FCC', 'CCC', 'IP Rating IP', 'MIL-STDG', 'SAE J']","The TREKDH is a vehicle display system ideal for fleet management and dispatch applications. It features a lightweight housing, excellent display capabilities, and is compatible with RAM mounting solutions.","The TREKDH is a vehicle display system designed with drivers in mind. It provides excellent display capabilities and is compatible with TREK box solutions. It features a lightweight housing, making it easy for customers to install. The system supports resolutions up to x and can be easily controlled via a button located on the side. For night driving, the panel has an auto-detecting light sensor that automatically adjusts the brightness.","The TREKDH is a vehicle-grade WVGA TFT LCD with a rugged resistive type touchscreen. It has five user-programmable function keys, two-watt speakers, and a built-in light sensor for automatic dimming. It can be easily installed and paired with a TREK computing box via a single-cable connection. It also has extended IO ports including USB Type A, power button, and reset button for easy TREK computing box maintenance. It operates within a wide working temperature range of -20 C to 60 C.","Fleet management, Dispatch applications"
HIGH SPEED CABLING CONNECTORS XX SERIES,M COMPANY,"QSFP, SFP, Mini-SAS HD, OSFP, QSFP-DD, SFP-DD, DSFP",True,Not Available,Not Available,Not Available,Not Available,DDR4 DIMM,"SATA, Mini PCI Express, mSATA",Not Available,['Not Available'],Not Available,Not Available,Not Available,Not Available,Not Available,The High Speed Cabling Connectors XX Series is a development kit from M Company designed to assist designers in evaluating signal integrity performance.,"The High Speed Cabling Connectors XX Series is a development kit from M Company. It is designed to assist designers in evaluating signal integrity performance of M SCI cable assemblies. The kit includes various components such as headers, cable assemblies, and a white paper.","The High Speed Cabling Connectors XX Series is a development kit from M Company. It is designed to assist designers in evaluating signal integrity performance of M SCI cable assemblies. The kit includes various components such as headers, cable assemblies, and a white paper. The kit is intended to support component engineers in technical specification development.","['Signal Integrity Performance Evaluation', 'Technical Specification Development']"
AIMB INTEL LGA CORE DUO LGA MINIITX,ADVANTECH,MINI-ITX,Commercialization,INTEL LGA CORE DUO,4,INTEL,65W,4GB DDR2 667MHZ SDRAM,UFS 2.0 with 32 ~ 256GB storage,"V: 5V, VSB: 5V","['USB: 4, SERIAL: 2, PARALLEL: 1, SATA: 1, ETHERNET: 1']",Wi-Fi and Bluetooth,WIN XPE,70° C,-20° C,RoHS COMPLIANT 2002/95/EC,"The AIMB Intel LGA Core Duo LGA MiniITX is a high-performance industrial motherboard featuring Intel Core Duo, Pentium DualCore, and Celeron processors, dual channel DDR2 667MHz SDRAM, and a range of I/O interfaces.","The AIMB Intel LGA Core Duo LGA MiniITX is a robust industrial motherboard designed for high-performance applications. It supports Intel Core Duo, Pentium DualCore, and Celeron processors, with a maximum speed of up to 2.6GHz. The motherboard features dual channel DDR2 667MHz SDRAM with a maximum capacity of 4GB. It also offers a range of I/O interfaces, including USB, serial, parallel, SATA, and Ethernet.","The AIMB Intel LGA Core Duo LGA MiniITX is a robust industrial motherboard designed for high-performance applications. It supports Intel Core Duo, Pentium DualCore, and Celeron processors, with a maximum speed of up to 2.6GHz. The motherboard features dual channel DDR2 667MHz SDRAM with a maximum capacity of 4GB. It also offers a range of I/O interfaces, including USB, serial, parallel, SATA, and Ethernet. The motherboard also supports Win XPE operating system.","smart kiosks, digital signage, industrial controls, and medical devices"
UBC-DL-MD-AE,ADVANTECH,Compact Box Computer,False,ARM Cortex-A,Dual Lite,FREESCALE,Not Available,DDR3 1GB,4GB eMMC Flash,12V DC,"['USB 2.0', 'USB OTG', 'SD slot', 'UART', 'Ethernet']",['WiFi'],"['Linux', 'Android']",60C,0C,"['CE', 'FCC Class B', 'RoHS COMPLIANT', 'EC NEW']","Compact Box Computer with Freescale i.MX Dual Lite 1GHz processor, 1GB DDR3 memory, 4GB eMMC flash, and multiple OS support.","The UBC-DL-MD-AE is a compact box computer featuring a Freescale i.MX Dual Lite 1GHz processor, 1GB DDR3 memory, and 4GB eMMC flash. It supports multiple operating systems including Linux and Android. The device has a variety of I/O interfaces including USB 2.0, USB OTG, SD slot, UART, and Ethernet. It also supports WiFi connectivity.","The UBC-DL-MD-AE is a compact box computer from Advantech. It is powered by a Freescale i.MX Dual Lite 1GHz processor and comes with 1GB DDR3 memory and 4GB eMMC flash. The device supports multiple operating systems including Linux and Android. It has a variety of I/O interfaces including USB 2.0, USB OTG, SD slot, UART, and Ethernet. It also supports WiFi connectivity. The device operates at a temperature range of 0C to 60C and requires a 12V DC power supply. It is certified by CE, FCC Class B, RoHS, and EC NEW.",Edge Computing
TREKRH,ADVANTECH,In-Vehicle Smart Display,False,Intel Atom,dual-core,Intel,8 watts,"1 x 2 GB DDR3L SODIMM 1066 MHz, non-ECC (up to 4 GB)","1 x 16 GB UMLC, SQFlash mSATA, with support system bootup",DC Input V,"['1 x USB Host Type A', '1 x Power button', '1 x Reset button', '1 x Smart Display Port']",IEEE 802.11a/b/g/n + Bluetooth V4.0 combo module,"WES7, WES8, Win10 IoT LTSB, Linux Ubuntu 14.04",60 C,-20 C,"['CE', 'FCC', 'CCC', 'EMARK', 'E', 'IP']","The TREKRH is an in-vehicle smart display system designed for Mobile Resource Management (MRM) applications in trucks, buses, and taxis. It features a WVGA resolution TFT LCD with a resistive touchscreen, a single watt speaker, and a built-in light sensor for automatic dimming.","The TREKRH is a vehicle display system designed for Mobile Resource Management (MRM) applications in trucks, buses, and taxis. It features a WVGA resolution TFT LCD with a resistive touchscreen, a single watt speaker, and a built-in light sensor for automatic dimming. The system is easily installed and paired with a TREK computing box via a single-cable connection. It also has extended IO ports including a USB Type A, a power button, and a reset button. The system operates in a wide temperature range from -20 C to 60 C.","The TREKRH is a vehicle display system designed for Mobile Resource Management (MRM) applications in trucks, buses, and taxis. It features a WVGA resolution TFT LCD with a resistive touchscreen, a single watt speaker, and a built-in light sensor for automatic dimming. The system is easily installed and paired with a TREK computing box via a single-cable connection. It also has extended IO ports including a USB Type A, a power button, and a reset button. The system operates in a wide temperature range from -20 C to 60 C. It meets the requirements for automotive grade working temperatures and has several certifications including CE, FCC, CCC, EMARK, E, and IP.","['Mobile Resource Management', 'Fleet Management', 'Dispatch Applications']"
EMETXEIM,ARBOR TECHNOLOGY,COM EXPRESS BASIC TYPE,False,INTEL CORE,Not Available,INTEL,12-28W,DDR SODIMM SOCKETS,SERIAL ATA PORTS,VV WIDE RANGE VOLTAGE INPUT,"['USB PORTS', 'UART PORTS', 'PCIEX LANES']",Not Available,"['WINDOWS BIT', 'WINDOWS BIT', 'LINUX UBUNTU']",OC,OC,Not Available,"EMETXEIM is a COM Express Basic Type CPU Module featuring soldered onboard th Generation Intel Core iEQiEQ Xeon EL v EM v, Intel ILM PCIe GbE PHY w iAMT, Dual Channels bit LVDS, x DDI ports, VV wide range voltage Input, and Wide Range Operating Temp C.","The EMETXEIM is a powerful and versatile CPU module designed for a wide range of applications. It features a soldered onboard th Generation Intel Core iEQiEQ Xeon EL v EM v processor, providing robust performance for demanding tasks. The module also includes Intel ILM PCIe GbE PHY w iAMT for reliable network connectivity, and supports dual channels bit LVDS and x DDI ports for display output. It operates on a VV wide range voltage input, making it suitable for various power conditions. The module is also designed to withstand a wide range of operating temperatures, making it ideal for use in challenging environments.","The EMETXEIM is a COM Express Basic Type CPU Module. It features a soldered onboard th Generation Intel Core iEQiEQ Xeon EL v EM v processor, Intel ILM PCIe GbE PHY w iAMT, Dual Channels bit LVDS, x DDI ports, VV wide range voltage Input, and Wide Range Operating Temp C. The module also includes DDR SODIMM sockets for memory, Serial ATA ports for storage, and a variety of I/O ports including USB and UART. It supports Windows bit, Windows bit, and Linux Ubuntu operating systems.","Industrial Automation, Health Care, Automotive"
