name,manufacturer,form_factor,evaluation_or_commercialization,processor_architecture,processor_core_count,processor_manufacturer,processor_tdp,memory,onboard_storage,input_voltage,io_count,wireless,operating_system_bsp,operating_temperature_max,operating_temperature_min,certifications,short_summary,full_summary,full_product_description,target_applications
RSB,ADVANTECH,SBC,False,ARM,Quad-core,TI,6W/6W/12W/9W/6W up to 45W,1 GB DDR3,4 GB eMMC NAND Flash,12 V DC,"['2 Gigabit Ethernet ports', '5 serial ports', '4 USB host ports']","['Wi-Fi', 'Bluetooth']","['Linux', 'Android']",60 C,-20 C,"['CE', 'FCC Class B', 'RoHS COMPLIANT']","RSB is a single board computer featuring TI Sitara AM Cortex-A processor, ideal for industrial automation.","The RSB is a RISC single board computer integrated with a TI Sitara AM Cortex-A processor, featuring dual gigabit Ethernet, multiple serial and USB ports, and wireless capabilities, designed for industrial automation and smart grid applications.","RSB is a single board computer (SBC) integrated with a TI Sitara AM Cortex-A processor, offering 1 GB DDR3 memory and 4 GB eMMC NAND Flash storage. It supports Linux and Android BSPs, and features dual gigabit Ethernet ports, multiple serial and USB ports, and wireless capabilities including Wi-Fi and Bluetooth. The system is designed for industrial automation and smart grid applications, with a fanless design and operating temperature range from -20 C to 60 C.","['Industrial machine automation', 'Smart grid']"
SMARCSAMX,KONTRON,SMARC,,ARM,Dual,NXP,,Up to 4 GByte DDR3L,Up to 64 GByte eMMC,5V,"['Multiple USB, PCIe, Ethernet, LVDS, GPIO']",Antenna connector for WiFI & Bluetooth,Yocto Linux,85°C,-20°C,,"SMARC module with low power iMX series processor, dual-core, up to 4GB RAM, multiple I/O support.","The SMARCSAMX is a SMARC module featuring an NXP iMX series processor with dual-core architecture, supporting up to 4GB DDR3L memory and 64GB eMMC storage. It offers extensive I/O options including USB, PCIe, Ethernet, and LVDS interfaces.","The SMARCSAMX module by Kontron is designed for low power applications, integrating an NXP iMX processor with dual-core capabilities. It supports up to 4GB of DDR3L memory and up to 64GB of onboard eMMC storage. The module provides a wide range of I/O interfaces such as USB, PCIe, Ethernet, and LVDS, making it suitable for various embedded applications. It operates within a temperature range of -20°C to 85°C and supports Yocto Linux as its operating system.","Embedded systems, industrial automation, IoT devices"
ARK-1123H,ADVANTECH,PALMSIZE,False,X86,2,INTEL,10 watts,DDR3 1066MHz 4GB,mSATA and/or SATA HDD bay,12VDC,"['2x GbE', '4x USB 2.0', '2x RS-232', '1x VGA', '1x HDMI', 'Audio Line-in/Line-out']",Supports Wi-Fi via Mini PCIe,"['Windows 7', 'Windows 8', 'Windows 10', 'WES 7', 'XP Embedded']",60°C,-20°C,"['RoHS', 'CE', 'FCC Class A', 'CCC', 'BSMI', 'CB', 'UL']","Fanless embedded box PC with Intel Atom dual-core processor, supporting independent dual displays and wide temperature range.","The ARK-1123H is a fanless embedded box PC featuring an Intel Atom dual-core processor, supporting independent dual displays via VGA and HDMI, with a wide operating temperature range and multiple mounting options.","The ARK-1123H is a compact, fanless embedded box PC designed for industrial applications. It features an Intel Atom N2600 dual-core processor, supports up to 4GB DDR3 memory, and offers flexible storage options with mSATA and SATA HDD bays. The device supports independent dual displays through VGA and HDMI interfaces, and includes a variety of I/O ports such as USB, RS-232, and audio. It is designed for wide temperature operation and offers multiple mounting options including VESA, DIN-rail, and wall mount.","['Industrial automation', 'Digital signage', 'Kiosk systems', 'Transportation']"
UTC RETAIL TOUCH COMPUTER,ADVANTECH,ALL-IN-ONE,False,X86,2,INTEL,,4 GB DDR3L,320 GB HDD,100-240 V,"['2 x RS232 COM', '4 x USB', '2 x Gigabit Ethernet', '1 x VGA', '1 x HDMI/DP', '1 x Audio Line-out']",802.11 a/b/g/n,"['Windows Embedded', 'Linux Ubuntu']",40°C,0°C,"['CE', 'FCC', 'UL', 'CB', 'CCC', 'BSMI']","Fanless all-in-one touch computer with Intel Core i5, 4GB RAM, and 320GB HDD.","The UTC Retail Touch Computer is a fanless, all-in-one system featuring an Intel Core i5 processor, 4GB DDR3L RAM, and a 320GB HDD. It supports Windows Embedded and Linux Ubuntu, and offers a range of I/O ports including USB, Ethernet, and HDMI/DP. It is designed for retail self-service and interactive signage applications.","The UTC Retail Touch Computer by Advantech is designed for retail and self-service applications. It features a fanless design with an Intel Core i5 processor, 4GB DDR3L RAM, and a 320GB HDD. The system supports multiple operating systems including Windows Embedded and Linux Ubuntu. It includes a variety of I/O ports such as USB, Ethernet, and HDMI/DP, and offers wireless connectivity with 802.11 a/b/g/n. The device is compliant with CE, FCC, UL, CB, CCC, and BSMI certifications.","['Retail self-service', 'Interactive signage']"
IMBA-H110,IEI,ATX,False,x86,4,Intel,,Two 288-pin 2133 MHz Dual-Channel DDR4 SDRAM Unbuffered DIMMs supported up to 32GB,,ATX/AT power supply,"['2 x USB 3.0 Gen1', '6 x USB 2.0', '6 x RS-232', '2 x LAN', '1 x VGA', '1 x DVI-D', '1 x DisplayPort', '1 x Audio Jack', '1 x Line-in', '1 x Line-out', '1 x Mic-in']",,"Windows 7/8.1/10, Linux Fedora 64bit",60°C,0°C,"['CE', 'FCC']","Industrial ATX motherboard with Intel H110 chipset, supporting 6th/7th Gen Intel Core processors, dual independent displays, and multiple I/O interfaces.","The IMBA-H110 is an industrial ATX motherboard designed for high performance and reliability. It supports 6th and 7th Generation Intel Core, Celeron, and Pentium processors, dual-channel DDR4 memory, and offers a wide range of I/O interfaces including USB 3.0, RS-232, and dual GbE LAN. It is suitable for applications requiring robust computing power and extensive connectivity.","The IMBA-H110 motherboard features the Intel H110 chipset, supporting LGA 1151 socket processors including Intel Core i3/i5/i7, Celeron, and Pentium. It offers dual-channel DDR4 memory slots supporting up to 32GB, triple independent display outputs (VGA, DVI-D, DisplayPort), and a variety of I/O options such as USB 3.0, RS-232, and dual LAN ports. The board is compliant with CE and FCC standards, ensuring high quality and reliability for industrial applications.","['Industrial Automation', 'Digital Signage', 'Kiosk Systems', 'Network Security Appliances']"
ARKL,ADVANTECH,Fanless Box PC,False,x86,2,Intel,,"DDR3L 1600 MHz, Max Capacity 8 GB","1 x SATA HDD Bay, 1 x mSATA",12 VDC,"['2 x RS-232/422/485, 2 x USB 3.0, 2 x USB 2.0, 1 x VGA, 1 x GbE']","WLAN, WWAN module support","Windows 10 IoT, Linux",60°C,-20°C,"CE, FCC Class A, CCC, BSMI, UL","Fanless embedded box PC with Intel Atom E processor, dual core, supporting various I/O and expansion options.","The ARKL is a fanless embedded box PC featuring an Intel Atom E dual-core processor. It supports a range of I/O interfaces including RS-232/422/485, USB, VGA, and GbE. The device is designed for industrial applications with options for WLAN and WWAN modules, and supports both Windows and Linux operating systems.","The ARKL fanless embedded box PC is equipped with an Intel Atom E dual-core SoC, offering robust performance for industrial applications. It includes a variety of I/O ports such as RS-232/422/485, USB 3.0, USB 2.0, VGA, and GbE. The device supports up to 8 GB of DDR3L memory and provides storage options with a SATA HDD bay and mSATA. It is designed for extended temperature operation and includes mounting options for VESA, DIN rail, and wall mounting.","Industrial automation, IoT applications, embedded systems"
UBC,ADVANTECH,BOX COMPUTER,False,ARM,DUAL/QUAD CORE,NXP,,2GB DDR3,8GB eMMC,12V DC,"['2x USB', '1x HDMI', '1x Ethernet', '1x SD slot']","['Wi-Fi', 'Bluetooth']","['Linux', 'Android']",60°C,-20°C,"['CE', 'FCC Class B']","RISC compact box computer with NXP ARM Cortex-A iMX processor, suitable for industrial IoT applications.","The UBC is a RISC compact box computer featuring a powerful NXP ARM Cortex-A iMX dual/quad-core processor, designed for industrial IoT applications. It offers excellent CPU performance with reduced power consumption, supporting USB, HDMI, and Gigabit Ethernet interfaces.","The UBC is an IP-based RISC compact box computer developed for industrial IoT applications. It is equipped with a powerful NXP ARM Cortex-A iMX dual/quad-core processor, delivering excellent CPU performance with reduced power consumption. The system supports USB, HDMI with 1080p resolution, and Gigabit Ethernet. It features a mini PCIe slot for integrating Wi-Fi/3G modules and a built-in SD card slot for storage expansion. The UBC system includes wall mount brackets for flexible installation.","['Industrial IoT', 'Rugged applications']"
EMETXEIM,ARBOR TECHNOLOGY,COM EXPRESS,True,x86,,INTEL,15W,Up to 8GB DDR3 SDRAM,Soldered onboard eMMC 5.0 up to 32GB,12V,"['4 USB ports', '2 SATA ports', '1 PCIe x16', '3 PCIe x1', '1 Gigabit Ethernet']",Supports wireless technologies on SMARC 2.0 modules,"Windows 8.1 64-bit, Windows 10 64-bit, Linux: Ubuntu",60°C,-40°C,,COM Express Basic Type 6 CPU module with Intel 2nd Gen Core processors.,"The EMETXEIM is a COM Express Basic Type 6 CPU module featuring soldered onboard 2nd Gen Intel Core i7/i5/i3 and Celeron processors, integrated Gigabit Ethernet, dual channels 18/24-bit LVDS, and support for dual independent displays.","The EMETXEIM module is designed for high-performance embedded applications, offering a range of Intel 2nd Gen Core processors, integrated graphics, and extensive I/O capabilities including multiple USB, SATA, and PCIe interfaces. It supports Intel Active Management Technology and extended operating temperatures, making it suitable for industrial environments.","['Industrial automation', 'Digital signage', 'Medical devices', 'Transportation systems']"
UBXD,ADVANTECH,Fanless Box PC,False,x86,Quad Core,Intel,28W,8 GB DDR3L 1333 MHz SODIMM,"1 x SATA HDD Bay, 1 x mSATA",12 VDC,"['6 x USB', '2 x LAN', '6 x COM', '1 x RJ11', '1 x LPT']",Supports WWAN module via Mini PCIe,"['Microsoft Windows', 'Windows Embedded POSReady', 'Windows 10 IoT', 'Linux Kernel 3.10 and above']",50°C,0°C,"['CCC', 'BSMI', 'CE', 'FCC', 'RoHS COMPLIANT']","Fanless embedded system with Intel Celeron J Quad Core, multiple IO interfaces, and energy-efficient design.","The UBXD is an intelligent fanless embedded system powered by an Intel Celeron J Quad Core processor, offering multiple IO interfaces and improved processing power and graphics performance over previous generations. It is designed for energy-efficient and environmentally responsible applications.","The UBXD features an Intel Bay Trail Quad Core J1900 processor with a maximum speed of 2.42 GHz and integrated Intel HD Graphics. It supports up to 8 GB of DDR3L 1333 MHz SODIMM memory and offers storage options including a SATA HDD bay and mSATA. The system includes a variety of IO interfaces such as USB, LAN, COM, RJ11, and LPT, and supports expansion via Mini PCIe. It is suitable for applications in factory automation, machine automation, retail kiosks, and self-service terminals.","['Factory automation', 'Machine automation', 'Retail kiosks', 'Self-service applications']"
EMETXEIM,ARBOR TECHNOLOGY,COM EXPRESS,True,ARM,4C/8T,INTEL,15W,DDR3L SODIMM sockets supporting up to 16GB,"NVMe, up to 256GB (Optional)","+12V and +5VSB for ATX, +12V for AT","['4 USB 3.0 ports, 4 USB 2.0 ports, 8-bit programmable Digital I/O']",Wi-Fi and Bluetooth,ESP-IDF,60°C,-40°C,,Intel 4th Generation Core COM Express Basic Type CPU Module with extended operating temperature.,"The EmETXeiM is a COM Express Basic Type CPU Module featuring a soldered onboard Intel 4th Generation Core processor, integrated Gigabit Ethernet, dual channels 18/24-bit LVDS, and supports independent displays with RAID support.","The EmETXeiM module includes a soldered onboard Intel 4th Generation Core i7/i5/i3 processor, dual DDR3L SODIMM sockets supporting up to 16GB SDRAM, Intel PCH QM87 chipset, and AMI UEFI BIOS. It offers extensive I/O options including USB ports, PCIe lanes, SATA ports with RAID support, and integrated Intel HD Graphics supporting multiple display interfaces.","Industrial automation, digital signage, medical equipment, and transportation systems."
ROM,ADVANTECH,SMARC,False,ARM,6,ROCKCHIP,,4 GB LPDDR4,16 GB eMMC,5 V DC,"['3 x USB', '1 x USB OTG', '2 x UART', '1 x PCIe', '1 x SATA', '2 x MIPI CSI', '1 x Gigabit LAN']","Wi-Fi, Bluetooth","['Linux', 'Debian', 'Android']",85 C,-40 C,"['RoHS', 'CE', 'FCC Class B']","Advantech ROM SMARC module with Rockchip RK SOC, dual-core Cortex-A72 and quad-core Cortex-A53, ideal for embedded applications.","The Advantech ROM SMARC Computer-on-Module is powered by the Rockchip RK SOC, featuring dual-core Cortex-A72 and quad-core Cortex-A53 processors. It supports rich display interfaces including HDMI, eDP, and LVDS, and offers extensive connectivity options such as USB, PCIe, SATA, and Gigabit Ethernet, making it suitable for a variety of embedded applications.","Advantech's ROM SMARC module is designed for embedded applications, powered by the Rockchip RK SOC with dual-core Cortex-A72 and quad-core Cortex-A53 processors. It includes 4 GB LPDDR4 memory and 16 GB eMMC storage. The module supports multiple display interfaces (HDMI, eDP, LVDS) and connectivity options (USB, PCIe, SATA, Gigabit Ethernet). It is compliant with RoHS, CE, and FCC Class B standards, and supports Linux, Debian, and Android operating systems.","['POS', 'Vending', 'Infotainment', 'Medical']"
ROMWQRAE,ADVANTECH,COM EXPRESS TYPE 6 COMPACT,True,ARM,4,NXP,10W,"LPDDR4 2400 MT/s SODIMM, supports ECC/Non-ECC, up to 8GB","eMMC up to 64GB, Micro SD slot",12V,"['3x PCIe', '3x USB 3.0', '3x USB 2.0', '2x UART', '1x SPI', '1x GPIO']",Supports Wi-Fi and Bluetooth via miniPCIe,Linux BSP,85°C,-40°C,"RoHS, CE, FCC Class B","Advantech ROMWQRAE is a COM Express Type 6 Compact module with NXP Arm Cortex-A cores, designed for edge networking and firewall applications.","The Advantech ROMWQRAE is a high-performance COM Express Type 6 Compact module featuring NXP's Arm Cortex-A quad-core processor, supporting up to 8GB of LPDDR4 memory with ECC. It is designed for edge networking and firewall applications, offering extensive I/O capabilities including PCIe, USB, and UART interfaces.","Advantech's ROMWQRAE is a COM Express Type 6 Compact module powered by NXP's Arm Cortex-A quad-core processor. It supports up to 8GB of LPDDR4 memory with ECC, and features onboard storage options including eMMC and Micro SD. The module is designed for edge networking and firewall applications, providing extensive I/O capabilities such as PCIe, USB, and UART interfaces. It supports Linux BSP and complies with RoHS, CE, and FCC Class B certifications.","['Edge networking', 'Edge firewall', 'Industrial automation', 'IoT gateways']"
SOM,ADVANTECH,COM EXPRESS BASIC MODULE,False,X86,6,INTEL,45W,Up to 32GB DDR4,NVMe SSD onboard,12V,"['PCIe x16, USB 3.0, SATA III, Ethernet']",,"['Windows IoT', 'Linux']",85°C,-40°C,,COM Express Basic Module with Intel Xeon/Core processors.,"The SOM is a COM Express Basic Module featuring Intel Xeon and Core processors, supporting up to 32GB DDR4 memory, and offering a range of I/O interfaces including PCIe, USB, and Ethernet.","The SOM module is designed for high-performance computing applications, equipped with Intel Xeon and Core processors. It supports dual-channel DDR4 memory up to 32GB, and provides extensive I/O options including PCIe x16, USB 3.0, SATA III, and Ethernet. The module is suitable for industrial environments with an operating temperature range from -40°C to 85°C.","['Industrial Automation', 'Embedded Systems', 'High-Performance Computing']"
